DATES,T_PI,T_CI,m_PI,m_CI,APITR,ACITR,PITB,CITB,GOV,RGDP,DEBT,FF,PLEVEL,NBR,EMP,HperW,LF,CNDSV,CD,INR,"2006, frequenc"
1950,0.0000,0.0000,0.0000,0.0000,0.0982,0.4358,-15.8262,-17.7702,-15.1725,-15.7734,-15.6575,0.0098,2.6893,2.1194,-14.3627,0.6440,-14.3022,-15.7107,-16.7072,-16.5088,-16.1586
1950.25,0.0000,0.0000,0.0000,0.0000,0.0990,0.4639,-15.7982,-17.6621,-15.1539,-15.7469,-15.6693,0.0097,2.6940,2.1325,-14.3471,0.6435,-14.2952,-15.6964,-16.7021,-16.4265,-16.0733
1950.5,0.0000,0.0000,0.0000,0.0000,0.1004,0.4987,-15.7668,-17.5533,-15.1926,-15.7110,-15.7087,0.0119,2.7148,2.1528,-14.3284,0.6496,-14.2864,-15.6829,-16.4919,-16.3431,-16.0038
1950.75,0.0000,0.0000,0.0000,0.0000,0.1129,0.5036,-15.7479,-17.4944,-15.0841,-15.6961,-15.7477,0.0105,2.7324,2.2069,-14.3168,0.6485,-14.2774,-15.6938,-16.6264,-16.3471,-16.0274
1951,0.0000,0.0000,0.0000,0.0000,0.1189,0.6250,-15.7454,-17.5602,-14.9078,-15.6861,-15.8045,0.0122,2.7637,2.1231,-14.3038,0.6537,-14.2724,-15.6741,-16.5980,-16.3758,-16.0677
1951.25,0.0000,0.0000,0.0000,0.0000,0.1234,0.5288,-15.7256,-17.5718,-14.7164,-15.6721,-15.8213,0.0090,2.7716,2.1449,-14.2958,0.6542,-14.2666,-15.6814,-16.7554,-16.3646,-16.1174
1951.5,0.0000,0.0000,0.0000,0.0000,0.1268,0.4728,-15.7175,-17.5623,-14.5594,-15.6549,-15.8243,0.0150,2.7730,2.1209,-14.2990,0.6505,-14.2688,-15.6671,-16.7761,-16.3560,-16.1362
1951.75,0.0000,0.0000,0.0000,0.0000,0.1314,0.4880,-15.7098,-17.5418,-14.4821,-15.6556,-15.8350,0.0125,2.7861,2.1364,-14.2964,0.6479,-14.2678,-15.6621,-16.7817,-16.3793,-16.1490
1952,0.0000,0.0000,0.0000,0.0000,0.1358,0.4770,-15.7020,-17.6078,-14.4419,-15.6480,-15.8358,0.0112,2.7904,2.1759,-14.2956,0.6485,-14.2692,-15.6628,-16.7785,-16.3778,-16.1397
1952.25,0.0000,0.0000,0.0000,0.0000,0.1369,0.4744,-15.6921,-17.6668,-14.4055,-15.6493,-15.8353,0.0158,2.7902,2.1292,-14.3007,0.6473,-14.2733,-15.6459,-16.7617,-16.3691,-16.1284
1952.5,0.0000,0.0000,0.0000,0.0000,0.1354,0.4755,-15.6834,-17.6885,-14.3824,-15.6450,-15.8415,0.0154,2.7967,2.1395,-14.2999,0.6483,-14.2718,-15.6330,-16.8250,-16.4662,-16.1940
1952.75,0.0000,0.0000,0.0000,0.0000,0.1360,0.4719,-15.6664,-17.5879,-14.3691,-15.6148,-15.8417,0.0168,2.7984,2.0584,-14.2866,0.6511,-14.2627,-15.6209,-16.6684,-16.3823,-16.1229
1953,0.0000,0.0000,0.0000,0.0000,0.1348,0.4904,-15.6522,-17.5734,-14.3332,-15.5986,-15.8401,0.0191,2.8022,2.0563,-14.2857,0.6515,-14.2622,-15.6153,-16.6376,-16.3312,-16.0859
1953.25,0.0000,0.0000,0.0000,0.0000,0.1332,0.5025,-15.6417,-17.5970,-14.3045,-15.5933,-15.8372,0.0161,2.8037,2.1584,-14.2885,0.6508,-14.2655,-15.6091,-16.6457,-16.3267,-16.0828
1953.5,0.0000,0.0000,0.0000,0.0000,0.1322,0.5025,-15.6488,-17.6282,-14.3347,-15.6019,-15.8383,0.0158,2.8092,2.1956,-14.2904,0.6435,-14.2644,-15.6136,-16.6545,-16.3067,-16.0845
1953.75,0.0000,0.0000,0.0000,0.0000,0.1318,0.4771,-15.6580,-17.8294,-14.3518,-15.6204,-15.8329,0.0156,2.8135,2.2153,-14.3045,0.6429,-14.2641,-15.6189,-16.6854,-16.3215,-16.0979
1954,0.0000,0.0000,0.0000,0.0000,0.1250,0.4387,-15.6626,-17.7642,-14.4091,-15.6277,-15.8282,0.0119,2.8185,2.2248,-14.3153,0.6426,-14.2634,-15.6121,-16.7196,-16.3543,-16.1163
1954.25,0.0000,0.0000,0.0000,0.0000,0.1245,0.4356,-15.6699,-17.7283,-14.4666,-15.6290,-15.8237,0.0080,2.8172,2.2570,-14.3257,0.6383,-14.2743,-15.6074,-16.6748,-16.3674,-16.1026
1954.5,-0.2800,-1.6304,-0.0008,-0.8477,0.1240,0.4401,-15.6675,-17.6817,-14.5202,-15.6204,-15.8226,0.0103,2.8139,2.2919,-14.3276,0.6343,-14.2709,-15.5948,-16.6732,-16.3431,-16.0661
1954.75,0.0000,0.0000,0.0000,0.0000,0.1234,0.4323,-15.6564,-17.5949,-14.5346,-15.6032,-15.8245,0.0099,2.8130,2.3159,-14.3255,0.6390,-14.2793,-15.5835,-16.6161,-16.3486,-16.0465
1955,0.0000,0.0000,0.0000,0.0000,0.1257,0.4280,-15.6415,-17.4879,-14.5615,-15.5774,-15.8330,0.0134,2.8162,2.2541,-14.3191,0.6446,-14.2772,-15.5749,-16.5326,-16.3335,-16.0095
1955.25,0.0000,0.0000,0.0000,0.0000,0.1264,0.4215,-15.6221,-17.4694,-14.5871,-15.5636,-15.8431,0.0150,2.8173,2.2639,-14.3124,0.6431,-14.2739,-15.5649,-16.4823,-16.2751,-15.9700
1955.5,0.0000,0.0000,0.0000,0.0000,0.1269,0.4257,-15.6084,-17.4652,-14.5793,-15.5530,-15.8563,0.0194,2.8213,2.2143,-14.3020,0.6436,-14.2643,-15.5591,-16.4533,-16.2280,-15.9509
1955.75,0.0000,0.0000,0.0000,0.0000,0.1274,0.4340,-15.6053,-17.4597,-14.6202,-15.5503,-15.8760,0.0236,2.8240,2.2469,-14.2940,0.6440,-14.2556,-15.5420,-16.4827,-16.2036,-15.9527
1956,0.0000,0.0000,0.0000,0.0000,0.1298,0.4292,-15.6003,-17.5132,-14.6305,-15.5576,-15.8961,0.0248,2.8281,2.2125,-14.2941,0.6394,-14.2558,-15.5343,-16.5323,-16.2251,-15.9770
1956.25,0.0000,0.0000,0.0000,0.0000,0.1306,0.4403,-15.5915,-17.5281,-14.6074,-15.5525,-15.9103,0.0269,2.8349,2.2366,-14.2921,0.6375,-14.2523,-15.5331,-16.5336,-16.2124,-15.9717
1956.5,0.0000,0.0000,0.0000,0.0000,0.1306,0.4200,-15.5937,-17.5607,-14.6287,-15.5568,-15.9313,0.0281,2.8446,2.2386,-14.2964,0.6375,-14.2600,-15.5308,-16.5545,-16.2073,-15.9764
1956.75,0.0000,0.0000,0.0000,0.0000,0.1312,0.4370,-15.5781,-17.5527,-14.5965,-15.5435,-15.9432,0.0293,2.8505,2.2807,-14.2996,0.6373,-14.2610,-15.5230,-16.5257,-16.2127,-15.9862
1957,0.0000,0.0000,0.0000,0.0000,0.1345,0.4338,-15.5822,-17.5386,-14.5818,-15.5403,-15.9640,0.0293,2.8594,2.2240,-14.3005,0.6330,-14.2659,-15.5212,-16.5106,-16.2085,-15.9892
1957.25,0.0000,0.0000,0.0000,0.0000,0.1346,0.4238,-15.5822,-17.5731,-14.6000,-15.5457,-15.9769,0.0300,2.8657,2.2097,-14.2989,0.6246,-14.2597,-15.5176,-16.5374,-16.2141,-16.0019
1957.5,0.0000,0.0000,0.0000,0.0000,0.1336,0.4186,-15.5796,-17.5949,-14.5997,-15.5394,-15.9885,0.0323,2.8738,2.2107,-14.3020,0.6270,-14.2616,-15.5104,-16.5475,-16.1965,-15.9951
1957.75,0.0000,0.0000,0.0000,0.0000,0.1329,0.4128,-15.5883,-17.6797,-14.5890,-15.5532,-15.9878,0.0325,2.8789,2.2685,-14.3159,0.6177,-14.2679,-15.5112,-16.5626,-16.2260,-16.0168
1958,0.0000,0.0000,0.0000,0.0000,0.1312,0.4085,-15.6047,-17.8392,-14.6288,-15.5839,-15.9953,0.0186,2.8911,2.3366,-14.3377,0.6125,-14.2750,-15.5190,-16.6346,-16.3043,-16.0839
1958.25,0.0000,0.0000,0.0000,0.0000,0.1294,0.4093,-15.6099,-17.8217,-14.6004,-15.5810,-15.9892,0.0094,2.8929,2.3886,-14.3494,0.6156,-14.2800,-15.5107,-16.6533,-16.3517,-16.1159
1958.5,0.0000,0.0000,0.0000,0.0000,0.1303,0.4182,-15.5966,-17.7278,-14.6073,-15.5609,-15.9870,0.0132,2.8936,2.3424,-14.3470,0.6168,-14.2796,-15.4985,-16.6358,-16.3699,-16.1049
1958.75,0.0000,0.0000,0.0000,0.0000,0.1296,0.4268,-15.5902,-17.6105,-14.5873,-15.5409,-15.9855,0.0216,2.8934,2.3585,-14.3428,0.6236,-14.2844,-15.4917,-16.6028,-16.3364,-16.0481
